age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal
37,Male,154.9,86.2,High Activity,32.0,0.0,35.9,Obese,Fat Loss
37,Female,165.1,77.1,High Activity,30.0,2.0,28.29,Overweight,Fat Loss
28,Male,180.3,86.2,High Activity,20.0,30.0,26.5,Overweight,Fat Loss
26,Female,165.1,63.5,High Activity,10.0,15.0,23.3,Normal,Fat Loss
47,Male,170.2,70.3,High Activity,18.0,10.0,24.28,Normal,Fat Loss
44,Female,157.5,54.4,High Activity,17.0,1.0,21.95,Normal,Fat Loss
19,Male,170.2,56.7,High Activity,10.0,1.0,19.58,Normal,Fat Loss
38,Male,185.4,102.1,High Activity,10.0,2.0,29.68,Overweight,Fat Loss
42,Female,154.9,93.0,High Activity,10.0,2.0,38.73,Obese,Fat Loss
48,Male,185.4,136.1,High Activity,10.0,0.0,39.58,Obese,Fat Loss
44,Female,170.2,72.6,High Activity,10.0,0.0,25.06,Overweight,Fat Loss
31,Male,172.7,102.1,High Activity,13.0,45.0,34.21,Obese,Fat Loss
38,Female,162.6,95.3,High Activity,25.0,13.0,36.05,Obese,Fat Loss
63,Male,185.4,113.4,Moderate Activity,3.0,1.0,32.98,Obese,Fat Loss
58,Female,160.0,81.6,Moderate Activity,3.0,1.0,31.89,Obese,Fat Loss
26,Male,175.3,68.0,High Activity,14.0,16.0,22.15,Normal,Fat Loss
65,Male,172.7,88.0,High Activity,20.0,15.0,29.5,Overweight,Fat Loss
64,Female,162.6,68.0,High Activity,10.0,6.0,25.75,Overweight,Fat Loss
43,Male,188.0,83.9,High Activity,5.0,0.0,23.75,Normal,Fat Loss
44,Female,170.2,90.7,High Activity,5.0,0.0,31.32,Obese,Fat Loss
18,Female,180.3,95.3,High Activity,5.0,0.0,29.29,Overweight,Fat Loss
47,Male,180.3,88.5,Moderate Activity,4.0,0.0,27.2,Overweight,Fat Loss
41,Female,170.2,63.5,High Activity,5.0,0.0,21.93,Normal,Fat Loss
40,Female,170.2,99.8,High Activity,5.0,0.0,34.46,Obese,Fat Loss
42,Female,165.1,90.7,Moderate Activity,4.0,0.0,33.28,Obese,Fat Loss
32,Female,167.6,58.1,High Activity,35.0,0.0,20.66,Normal,Fat Loss
27,Male,167.6,74.8,High Activity,90.0,5.0,26.63,Overweight,Fat Loss
58,Male,185.4,86.2,High Activity,10.0,2.0,25.07,Overweight,Fat Loss
54,Female,154.9,68.0,Moderate Activity,3.0,0.0,28.34,Overweight,Fat Loss
60,Female,170.2,74.8,High Activity,7.0,0.0,25.84,Overweight,Fat Loss
35,Female,162.6,77.1,High Activity,40.0,2.0,29.18,Overweight,Fat Loss
39,Male,185.4,104.3,High Activity,4.0,4.0,30.34,Obese,Fat Loss
38,Female,175.3,81.6,High Activity,3.0,5.0,26.58,Overweight,Fat Loss
55,Male,154.9,104.3,High Activity,12.0,1.0,43.46,Obese,Fat Loss
45,Female,160.0,52.2,High Activity,20.0,0.0,20.37,Normal,Fat Loss
57,Male,175.3,79.4,High Activity,10.0,0.0,25.84,Overweight,Fat Loss
39,Male,180.3,84.4,Low Activity,2.0,0.0,25.94,Overweight,Fat Loss
40,Female,160.0,63.5,Moderate Activity,4.0,0.0,24.8,Normal,Fat Loss
20,Female,154.9,81.6,High Activity,20.0,10.0,34.01,Obese,Fat Loss
45,Male,172.7,77.1,Low Activity,0.0,0.0,25.85,Overweight,Fat Loss
45,Female,162.6,72.6,Low Activity,0.0,0.0,27.46,Overweight,Fat Loss
18,Male,175.3,60.3,Low Activity,0.0,0.0,19.64,Normal,Fat Loss
47,Male,154.9,93.0,High Activity,20.0,10.0,38.73,Obese,Fat Loss
44,Female,162.6,61.7,High Activity,35.0,9.0,23.34,Normal,Fat Loss
19,Female,167.6,58.1,High Activity,20.0,9.0,20.66,Normal,Fat Loss
57,Male,182.9,93.0,High Activity,10.0,2.0,27.8,Overweight,Fat Loss
57,Female,170.2,49.9,High Activity,12.0,3.0,17.23,Underweight,Fat Loss
48,Male,175.3,113.4,High Activity,20.0,30.0,36.92,Obese,Fat Loss
49,Female,154.9,90.7,High Activity,10.0,0.0,37.79,Obese,Fat Loss
20,Female,172.7,81.6,High Activity,10.0,0.0,27.37,Overweight,Fat Loss
45,Male,175.3,86.2,High Activity,10.0,1.0,28.06,Overweight,Fat Loss
50,Female,162.6,81.6,High Activity,10.0,1.0,30.9,Obese,Fat Loss
18,Female,165.1,79.4,High Activity,10.0,5.0,29.12,Overweight,Fat Loss
18,Female,154.9,49.9,High Activity,10.0,5.0,20.78,Normal,Fat Loss
56,Male,154.9,86.2,High Activity,20.0,1.0,35.9,Obese,Fat Loss
56,Female,167.6,54.4,High Activity,10.0,4.0,19.37,Normal,Fat Loss
22,Female,172.7,56.7,High Activity,8.0,1.0,19.01,Normal,Fat Loss
54,Female,162.6,68.0,Moderate Activity,4.0,0.0,25.75,Overweight,Fat Loss
45,Female,167.6,65.8,High Activity,5.0,45.0,23.4,Normal,Fat Loss
51,Male,188.0,95.3,High Activity,5.0,40.0,26.96,Overweight,Fat Loss
43,Male,167.6,68.0,High Activity,12.0,0.0,24.21,Normal,Fat Loss
55,Female,160.0,79.4,High Activity,5.0,1.0,31.0,Obese,Fat Loss
49,Male,180.3,86.2,High Activity,7.0,0.0,26.5,Overweight,Fat Loss
22,Male,167.6,65.8,Moderate Activity,3.0,0.0,23.4,Normal,Fat Loss
19,Male,154.9,68.0,High Activity,12.0,0.0,28.34,Overweight,Fat Loss
57,Female,172.7,113.4,High Activity,15.0,0.0,38.01,Obese,Fat Loss
55,Male,165.1,63.5,High Activity,50.0,0.0,23.3,Normal,Fat Loss
50,Female,160.0,54.4,High Activity,30.0,0.0,21.26,Normal,Fat Loss
22,Male,182.9,81.6,High Activity,50.0,0.0,24.41,Normal,Fat Loss
50,Female,160.0,82.6,Low Activity,2.0,0.0,32.24,Obese,Fat Loss
58,Male,188.0,83.9,High Activity,6.0,4.0,23.75,Normal,Fat Loss
54,Female,157.5,63.5,Moderate Activity,3.0,0.0,25.61,Overweight,Fat Loss
55,Male,185.4,86.2,Moderate Activity,4.0,0.0,25.07,Overweight,Fat Loss
47,Female,157.5,52.6,High Activity,15.0,5.0,21.22,Normal,Fat Loss
47,Male,172.7,78.0,High Activity,10.0,2.0,26.15,Overweight,Fat Loss
18,Male,175.3,58.1,High Activity,5.0,5.0,18.9,Normal,Fat Loss
21,Female,160.0,52.2,High Activity,10.0,5.0,20.37,Normal,Fat Loss
49,Female,154.9,56.7,High Activity,5.0,1.0,23.62,Normal,Fat Loss
20,Male,190.5,74.8,High Activity,7.0,3.0,20.62,Normal,Fat Loss
59,Male,180.3,81.6,High Activity,9.0,9.0,25.1,Overweight,Fat Loss
43,Female,172.7,72.6,High Activity,8.0,3.0,24.33,Normal,Fat Loss
46,Male,172.7,81.6,High Activity,8.0,3.0,27.37,Overweight,Fat Loss
37,Male,188.0,113.4,High Activity,0.0,50.0,32.1,Obese,Fat Loss
34,Female,162.6,81.2,High Activity,13.0,0.0,30.72,Obese,Fat Loss
42,Male,165.1,108.9,High Activity,50.0,3.0,39.94,Obese,Fat Loss
41,Female,162.6,95.3,High Activity,40.0,0.0,36.05,Obese,Fat Loss
64,Male,180.3,99.8,High Activity,20.0,9.0,30.68,Obese,Fat Loss
62,Female,167.6,90.7,High Activity,16.0,9.0,32.28,Obese,Fat Loss
62,Male,172.7,74.8,High Activity,5.0,0.0,25.09,Overweight,Fat Loss
55,Male,172.7,70.3,Low Activity,0.0,0.0,23.57,Normal,Fat Loss
52,Female,167.6,54.4,High Activity,40.0,2.0,19.37,Normal,Fat Loss
44,Male,180.3,79.4,High Activity,16.0,9.0,24.41,Normal,Fat Loss
41,Female,160.0,85.3,High Activity,6.0,9.0,33.3,Obese,Fat Loss
35,Female,170.2,86.2,High Activity,80.0,20.0,29.76,Overweight,Fat Loss
33,Male,188.0,102.1,High Activity,78.0,18.0,28.89,Overweight,Fat Loss
46,Male,182.9,88.5,High Activity,12.0,9.0,26.45,Overweight,Fat Loss
46,Female,154.9,61.2,High Activity,12.0,9.0,25.51,Overweight,Fat Loss
54,Male,188.0,108.9,High Activity,18.0,2.0,30.81,Obese,Fat Loss
52,Female,167.6,81.6,High Activity,14.0,1.0,29.05,Overweight,Fat Loss
59,Male,154.9,71.7,Moderate Activity,4.0,0.0,29.85,Overweight,Fat Loss
29,Female,165.1,61.2,High Activity,7.0,7.0,22.46,Normal,Fat Loss
36,Female,154.9,76.7,Moderate Activity,3.0,1.0,31.93,Obese,Fat Loss
33,Male,190.5,90.7,High Activity,10.0,15.0,25.0,Normal,Fat Loss
34,Female,160.0,74.8,High Activity,10.0,2.0,29.23,Overweight,Fat Loss
60,Male,180.3,113.4,Low Activity,2.0,0.0,34.87,Obese,Fat Loss
36,Female,160.0,95.3,Low Activity,2.0,0.0,37.2,Obese,Fat Loss
32,Male,193.0,133.8,Low Activity,2.0,0.0,35.91,Obese,Fat Loss
49,Female,157.5,90.7,High Activity,9.0,9.0,36.58,Obese,Fat Loss
