age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,gender_encoded,workout_template_id,nutrition_template_id
37,Male,154.9,86.2,High Activity,32.0,0.0,35.92563310592935,Obese,Fat Loss,1776.4995000000004,1.81,3215.4640950000007,0,3.0,3.0
37,Female,165.1,77.1,High Activity,30.0,2.0,28.285263671119054,Overweight,Fat Loss,1511.8064999999997,1.81,2736.3697649999995,1,3.0,2.0
28,Male,180.3,86.2,High Activity,20.0,30.0,26.516476360192183,Overweight,Fat Loss,1949.4871000000005,1.81,3528.571651000001,0,3.0,2.0
26,Female,165.1,63.5,High Activity,10.0,15.0,23.295904579974838,Normal,Fat Loss,1433.6772999999998,1.81,2594.955913,1,3.0,1.0
47,Male,170.2,70.3,High Activity,18.0,10.0,24.268124457160372,Normal,Fat Loss,1580.1419,1.81,2860.0568390000003,0,3.0,1.0
44,Female,157.5,54.4,High Activity,17.0,1.0,21.929957168052407,Normal,Fat Loss,1248.0448,1.81,2258.961088,1,3.0,1.0
19,Male,170.2,56.7,High Activity,10.0,1.0,19.573295259189095,Normal,Fat Loss,1556.8987,1.81,2817.986647,0,3.0,1.0
38,Male,185.4,102.1,High Activity,10.0,2.0,29.703408124245772,Overweight,Fat Loss,2130.2043,1.81,3855.669783,0,3.0,2.0
42,Female,154.9,93.0,High Activity,10.0,2.0,38.75967376857807,Obese,Fat Loss,1605.5842000000002,1.81,2906.1074020000005,1,3.0,3.0
48,Male,185.4,136.1,High Activity,10.0,0.0,39.59484667688393,Obese,Fat Loss,2528.9323,1.81,4577.367463,0,3.0,3.0
44,Female,170.2,72.6,High Activity,10.0,0.0,25.06210292446434,Overweight,Fat Loss,1455.6848,1.81,2634.789488,1,3.0,2.0
31,Male,172.7,102.1,High Activity,13.0,45.0,34.23269312720849,Obese,Fat Loss,2108.996,1.81,3817.2827600000005,0,3.0,3.0
38,Female,162.6,95.3,High Activity,25.0,13.0,36.0455634076636,Obese,Fat Loss,1668.0269,1.81,3019.128689,1,3.0,3.0
63,Male,185.4,113.4,Moderate Activity,3.0,1.0,32.9908568196814,Obese,Fat Loss,2139.6654000000003,1.55,3316.4813700000004,0,2.0,3.0
58,Female,160.0,81.6,Moderate Activity,3.0,1.0,31.874999999999993,Obese,Fat Loss,1446.6881999999998,1.55,2242.36671,1,2.0,3.0
26,Male,175.3,68.0,High Activity,14.0,16.0,22.12814866471266,Normal,Fat Loss,1693.0207,1.81,3064.367467,0,3.0,1.0
65,Male,172.7,88.0,High Activity,20.0,15.0,29.505161559200268,Overweight,Fat Loss,1727.0802999999996,1.81,3126.0153429999996,0,3.0,2.0
64,Female,162.6,68.0,High Activity,10.0,6.0,25.719814393715897,Overweight,Fat Loss,1303.0038,1.81,2358.436878,1,3.0,2.0
43,Male,188.0,83.9,High Activity,5.0,0.0,23.738116794929837,Normal,Fat Loss,1870.4713000000006,1.81,3385.553053000001,0,3.0,1.0
44,Female,170.2,90.7,High Activity,5.0,0.0,31.310368254117297,Obese,Fat Loss,1623.0555,1.81,2937.730455,1,3.0,3.0
18,Female,180.3,95.3,High Activity,5.0,0.0,29.315779549029173,Overweight,Fat Loss,1809.4615,1.81,3275.125315,1,3.0,2.0
47,Male,180.3,88.5,Moderate Activity,4.0,0.0,27.223992550777353,Overweight,Fat Loss,1872.4372000000003,1.55,2902.2776600000007,0,2.0,2.0
41,Female,170.2,63.5,High Activity,5.0,0.0,21.920709858174735,Normal,Fat Loss,1384.5271,1.81,2505.994051,1,3.0,1.0
40,Female,170.2,99.8,High Activity,5.0,0.0,34.4517613204069,Obese,Fat Loss,1724.5231999999999,1.81,3121.3869919999997,1,3.0,3.0
42,Female,165.1,90.7,Moderate Activity,4.0,0.0,33.27462276226328,Obese,Fat Loss,1615.9157,1.55,2504.669335,1,2.0,3.0
32,Female,167.6,58.1,High Activity,35.0,0.0,20.683693986705478,Normal,Fat Loss,1365.5085000000001,1.81,2471.5703850000004,1,3.0,1.0
27,Male,167.6,74.8,High Activity,90.0,5.0,26.628921001817034,Overweight,Fat Loss,1741.491,1.81,3152.09871,0,3.0,2.0
58,Male,185.4,86.2,High Activity,10.0,2.0,25.07770597757087,Overweight,Fat Loss,1803.652,1.81,3264.6101200000003,0,3.0,2.0
54,Female,154.9,68.0,Moderate Activity,3.0,0.0,28.340406626487187,Overweight,Fat Loss,1322.4492000000002,1.55,2049.7962600000005,1,2.0,2.0
