age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,workout_template_id,nutrition_template_id,tdee_bmr_ratio,height_bin,weight_bin,split,gender_encoded,combo_stratify,age_group,data_source,goal_encoded,BMI_Goal_interaction,Age_Activity_interaction,BMI_Activity_interaction,Age_Goal_interaction,BMR_per_weight,activity_efficiency,BMI_deviation,weight_height_ratio,metabolic_score,high_metabolism,vigorous_activity,very_active,young_adult,optimal_BMI
65,Male,167.6,64.4,High Activity,14.0,1.0,22.92650417803499,Normal,Fat Loss,1386.4362,1.81,2509.4495220000003,3.0,1.0,1.81,166-180,40-70,train,,,,,0,0.0,130,45.85300835606998,0,21.528512422360247,1.0,0.42650417803498897,0.3842482100238664,0.33120788342092694,1,0,0,0,1
57,Male,180.3,86.2,High Activity,7.0,12.0,26.516476360192183,Overweight,Fat Loss,1784.8541000000005,1.81,3230.585921000001,3.0,2.0,1.81,181-200,71-100,train,,,,,0,0.0,114,53.032952720384365,0,20.705964037122975,1.0,4.016476360192183,0.4780920687742651,0.3632625269670697,1,0,0,0,0
52,Female,167.6,83.9,High Activity,5.0,7.0,29.868535722626326,Overweight,Fat Loss,1517.4811,1.81,2746.640791,3.0,2.0,1.81,166-180,71-100,train,,,,,0,0.0,104,59.73707144525265,0,18.08678307508939,1.0,7.368535722626326,0.5005966587112173,0.34782275144402675,1,0,0,0,0
21,Male,185.4,72.6,Moderate Activity,3.0,0.0,21.1211305565156,Normal,Fat Loss,1831.5018,1.55,2838.8277900000003,2.0,1.0,1.55,181-200,71-100,train,,,,,0,0.0,21,21.1211305565156,0,25.22729752066116,1.0,1.378869443484401,0.3915857605177993,1.2012998819362457,1,0,0,1,1
34,Female,167.6,59.0,High Activity,5.0,5.0,21.00409544260969,Normal,Fat Loss,1365.1708,1.81,2470.959148,3.0,1.0,1.81,166-180,40-70,train,,,,,0,0.0,68,42.00819088521938,0,23.13848813559322,0.9999999999999998,1.4959045573903111,0.35202863961813846,0.6805437686939183,1,0,0,0,1
46,Male,182.9,88.5,High Activity,12.0,9.0,26.455493042205333,Overweight,Fat Loss,1890.5916000000004,1.81,3421.970796000001,3.0,2.0,1.81,181-200,71-100,train,,,,,0,0.0,92,52.910986084410666,0,21.362616949152546,1.0,3.955493042205333,0.48387096774193544,0.46440471628592495,1,0,0,0,0
49,Male,185.4,79.4,High Activity,1.0,3.0,23.09941826704324,Normal,Fat Loss,1763.6454,1.81,3192.198174,3.0,1.0,1.81,181-200,71-100,train,,,,,0,0.0,98,46.19883653408648,0,22.212158690176324,1.0,0.5994182670432409,0.42826321467098166,0.45330936102400654,1,0,0,0,1
19,Female,157.5,56.7,Low Activity,1.0,0.0,22.85714285714286,Normal,Fat Loss,1377.5629,1.29,1777.056141,1.0,1.0,1.29,150-165,40-70,train,,,,,0,0.0,0,0.0,0,24.295641975308637,1.0,0.3571428571428612,0.36000000000000004,1.2787179987004549,1,0,0,1,1
48,Female,157.5,78.5,High Activity,35.0,0.0,31.64525069286974,Obese,Fat Loss,1453.5775,1.81,2630.975275,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,96,63.29050138573948,0,18.51691082802548,0.9999999999999998,9.145250692869741,0.4984126984126984,0.38576897558386414,1,0,0,0,0
53,Female,165.1,83.5,Low Activity,0.0,0.0,30.63319736106928,Obese,Fat Loss,1501.7072999999998,1.29,1937.202417,1.0,3.0,1.29,166-180,71-100,train,,,,,0,0.0,0,0.0,0,17.98451856287425,1.0000000000000002,8.133197361069278,0.5057540884312538,0.33933053892215564,1,0,0,0,0
42,Male,193.0,136.1,High Activity,40.0,70.0,36.53789363472845,Obese,Fat Loss,2599.4667,1.81,4705.034727,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,84,73.0757872694569,0,19.09968185157972,1.0,14.037893634728448,0.705181347150259,0.4547543297995172,1,0,0,0,0
63,Female,167.6,90.7,High Activity,6.0,1.0,32.289346722791514,Obese,Fat Loss,1532.7307,1.81,2774.242567,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,126,64.57869344558303,0,16.898905181918412,0.9999999999999999,9.789346722791514,0.5411694510739857,0.26823659018918117,1,0,0,0,0
58,Male,185.4,97.5,High Activity,50.0,10.0,28.365154673006494,Overweight,Fat Loss,1955.0381,1.81,3538.6189610000006,3.0,2.0,1.81,181-200,71-100,train,,,,,0,0.0,116,56.73030934601299,0,20.05167282051282,1.0000000000000002,5.865154673006494,0.5258899676375405,0.34571849690539347,1,0,0,0,0
48,Male,190.5,99.8,High Activity,30.0,20.0,27.50049944544333,Overweight,Fat Loss,2067.0961,1.81,3741.443941000001,3.0,2.0,1.81,181-200,71-100,train,,,,,0,0.0,96,55.00099889088666,0,20.71238577154309,1.0000000000000002,5.000499445443332,0.5238845144356955,0.43150803690714773,1,0,0,0,0
37,Male,180.3,83.9,High Activity,40.0,0.0,25.80896016960701,Overweight,Fat Loss,1867.581,1.81,3380.3216100000004,3.0,2.0,1.81,181-200,71-100,train,,,,,0,0.0,74,51.61792033921402,0,22.25960667461263,1.0000000000000002,3.3089601696070083,0.4653355518580144,0.6016109912057468,1,0,0,0,0
58,Male,182.9,90.7,High Activity,5.0,0.0,27.11314371670084,Overweight,Fat Loss,1851.9410000000005,1.81,3352.0132100000005,3.0,2.0,1.81,181-200,71-100,train,,,,,0,0.0,116,54.22628743340168,0,20.41831312017641,0.9999999999999999,4.61314371670084,0.49589939857845816,0.35203988138235187,1,0,0,0,0
65,Male,185.4,81.6,High Activity,25.0,0.0,23.739452526331583,Normal,Fat Loss,1702.2868,1.81,3081.139108,3.0,1.0,1.81,181-200,71-100,train,,,,,0,0.0,130,47.478905052663166,0,20.861357843137256,0.9999999999999999,1.2394525263315828,0.44012944983818764,0.32094396681749626,1,0,0,0,1
46,Female,170.2,63.5,High Activity,3.0,3.0,21.92070985817473,Normal,Fat Loss,1362.8771,1.81,2466.807551,3.0,1.0,1.81,166-180,40-70,train,,,,,0,0.0,92,43.84141971634946,0,21.46263149606299,1.0,0.5792901418252683,0.37309048178613397,0.46657894556658674,1,0,0,0,1
