age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,workout_template_id,nutrition_template_id,tdee_bmr_ratio,height_bin,weight_bin
65,Male,167.6,64.4,High Activity,14.0,1.0,22.92650417803499,Normal,Fat Loss,1386.4362,1.81,2509.4495220000003,3,1,1.81,166-180,40-70
57,Male,180.3,86.2,High Activity,7.0,12.0,26.516476360192183,Overweight,Fat Loss,1784.8541000000005,1.81,3230.585921000001,3,2,1.81,181-200,71-100
52,Female,167.6,83.9,High Activity,5.0,7.0,29.868535722626326,Overweight,Fat Loss,1517.4811,1.81,2746.640791,3,2,1.8099999999999998,166-180,71-100
21,Male,185.4,72.6,Moderate Activity,3.0,0.0,21.1211305565156,Normal,Fat Loss,1831.5018,1.55,2838.8277900000003,2,1,1.55,181-200,71-100
34,Female,167.6,59.0,High Activity,5.0,5.0,21.00409544260969,Normal,Fat Loss,1365.1707999999999,1.81,2470.959148,3,1,1.81,166-180,40-70
46,Male,182.9,88.5,High Activity,12.0,9.0,26.455493042205333,Overweight,Fat Loss,1890.5916000000004,1.81,3421.970796000001,3,2,1.81,181-200,71-100
49,Male,185.4,79.4,High Activity,1.0,3.0,23.09941826704324,Normal,Fat Loss,1763.6454,1.81,3192.198174,3,1,1.81,181-200,71-100
19,Female,157.5,56.7,Low Activity,1.0,0.0,22.85714285714286,Normal,Fat Loss,1377.5629,1.29,1777.056141,1,1,1.29,150-165,40-70
48,Female,157.5,78.5,High Activity,35.0,0.0,31.64525069286974,Obese,Fat Loss,1453.5775,1.81,2630.9752750000002,3,3,1.81,150-165,71-100
53,Female,165.1,83.5,Low Activity,0.0,0.0,30.63319736106928,Obese,Fat Loss,1501.7072999999998,1.29,1937.2024169999997,1,3,1.29,166-180,71-100
42,Male,193.0,136.1,High Activity,40.0,70.0,36.53789363472845,Obese,Fat Loss,2599.4667,1.81,4705.034727,3,3,1.81,181-200,101-150
63,Female,167.6,90.7,High Activity,6.0,1.0,32.289346722791514,Obese,Fat Loss,1532.7307,1.81,2774.2425670000002,3,3,1.81,166-180,71-100
58,Male,185.4,97.5,High Activity,50.0,10.0,28.365154673006494,Overweight,Fat Loss,1955.0381000000002,1.81,3538.6189610000006,3,2,1.81,181-200,71-100
48,Male,190.5,99.8,High Activity,30.0,20.0,27.50049944544333,Overweight,Fat Loss,2067.0961,1.81,3741.4439410000005,3,2,1.81,181-200,71-100
37,Male,180.3,83.9,High Activity,40.0,0.0,25.80896016960701,Overweight,Fat Loss,1867.5810000000001,1.81,3380.3216100000004,3,2,1.81,181-200,71-100
58,Male,182.9,90.7,High Activity,5.0,0.0,27.113143716700836,Overweight,Fat Loss,1851.9410000000003,1.81,3352.0132100000005,3,2,1.81,181-200,71-100
65,Male,185.4,81.6,High Activity,25.0,0.0,23.739452526331583,Normal,Fat Loss,1702.2867999999999,1.81,3081.139108,3,1,1.81,181-200,71-100
46,Female,170.2,63.5,High Activity,3.0,3.0,21.92070985817473,Normal,Fat Loss,1362.8771,1.81,2466.807551,3,1,1.81,166-180,40-70
48,Male,154.9,99.8,High Activity,25.0,0.0,41.59371443122679,Obese,Fat Loss,1896.2517000000003,1.81,3432.2155770000004,3,3,1.81,150-165,71-100
48,Female,170.2,79.4,High Activity,40.0,8.0,27.409517523449985,Overweight,Fat Loss,1501.2444000000003,1.81,2717.2523640000004,3,2,1.8099999999999998,166-180,71-100
53,Male,154.9,99.8,Moderate Activity,4.0,0.0,41.59371443122679,Obese,Fat Loss,1867.8667000000005,1.55,2895.193385000001,2,3,1.55,150-165,71-100
60,Male,182.9,83.9,High Activity,5.0,10.0,25.0804052682602,Overweight,Fat Loss,1749.4874000000004,1.81,3166.5721940000008,3,2,1.81,181-200,71-100
60,Female,152.4,77.1,Moderate Activity,3.0,0.0,33.195899725132776,Obese,Fat Loss,1372.8718999999999,1.55,2127.9514449999997,2,3,1.5499999999999998,150-165,71-100
46,Female,157.5,81.6,Low Activity,2.0,0.0,32.89493575207861,Obese,Fat Loss,1490.9031999999997,1.29,1923.2651279999998,1,3,1.29,150-165,71-100
58,Female,165.1,90.7,High Activity,6.0,0.0,33.27462276226328,Obese,Fat Loss,1546.6357,1.81,2799.410617,3,3,1.81,166-180,71-100
55,Male,175.3,77.1,High Activity,8.0,6.0,25.089415618372737,Overweight,Fat Loss,1650.3004000000003,1.81,2987.0437240000006,3,2,1.81,166-180,71-100
32,Female,162.6,56.7,High Activity,10.0,0.0,21.445786413583697,Normal,Fat Loss,1337.0727,1.81,2420.101587,3,1,1.81,150-165,40-70
54,Male,182.9,83.9,High Activity,5.0,0.0,25.0804052682602,Overweight,Fat Loss,1783.5494000000003,1.81,3228.2244140000007,3,2,1.81,181-200,71-100
59,Female,157.5,61.2,High Activity,7.0,1.0,24.67120181405896,Normal,Fat Loss,1245.9744,1.81,2255.2136640000003,3,1,1.8100000000000003,150-165,40-70
37,Female,162.6,81.6,High Activity,20.0,0.0,30.863777272459075,Obese,Fat Loss,1545.6729999999998,1.81,2797.6681299999996,3,3,1.81,150-165,71-100
19,Male,188.0,79.4,High Activity,10.0,10.0,22.46491625169761,Normal,Fat Loss,1946.4328000000003,1.81,3523.0433680000006,3,1,1.81,181-200,71-100
61,Male,154.9,102.1,High Activity,10.0,0.0,42.55228700829914,Obese,Fat Loss,1853.2638000000002,1.81,3354.4074780000005,3,3,1.81,150-165,101-150
20,Female,167.6,59.0,High Activity,10.0,5.0,21.00409544260969,Normal,Fat Loss,1425.7908,1.81,2580.681348,3,1,1.81,166-180,40-70
58,Male,185.4,140.6,Moderate Activity,4.0,0.0,40.90400766179192,Obese,Fat Loss,2532.4488,1.55,3925.2956400000003,2,3,1.55,181-200,101-150
57,Male,175.3,79.4,High Activity,10.0,0.0,25.83786770556155,Overweight,Fat Loss,1669.7595000000003,1.81,3022.2646950000008,3,2,1.81,166-180,71-100
45,Male,172.7,76.2,High Activity,4.0,3.0,25.54878762285296,Overweight,Fat Loss,1682.5357000000001,1.81,3045.3896170000003,3,2,1.81,166-180,71-100
32,Male,193.0,88.5,High Activity,3.0,6.0,23.75902708797552,Normal,Fat Loss,2018.5395000000005,1.81,3653.556495000001,3,1,1.81,181-200,71-100
