age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,workout_template_id,nutrition_template_id,tdee_bmr_ratio,height_bin,weight_bin,split,gender_encoded,combo_stratify,age_group,data_source,goal_encoded,BMI_Goal_interaction,Age_Activity_interaction,BMI_Activity_interaction,Age_Goal_interaction,BMR_per_weight,activity_efficiency,BMI_deviation,weight_height_ratio,metabolic_score,high_metabolism,vigorous_activity,very_active,young_adult,optimal_BMI
26,Male,182.9,104.3,High Activity,13.0,1.0,31.1786206135821,Obese,Fat Loss,2215.8042000000005,1.81,4010.605602000001,3.0,3.0,,,,train,0.0,Fat Loss_High Activity_Obese,,,0,0.0,52,62.3572412271642,0,21.244527325023974,1.0,8.678620613582101,0.5702569710224166,0.8170972048086145,1,0,0,1,0
62,Female,157.5,81.6,High Activity,100.0,100.0,32.89493575207861,Obese,Fat Loss,1421.6231999999998,1.81,2573.1379919999995,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,124,65.78987150415722,0,17.421852941176468,1.0,10.39493575207861,0.518095238095238,0.28099762808349144,1,0,0,0,0
50,Female,167.6,106.6,High Activity,40.0,1.0,37.94977244376599,Obese,Fat Loss,1736.048,1.81,3142.24688,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,100,75.89954488753197,0,16.28562851782364,1.0,15.449772443765987,0.6360381861575178,0.3257125703564728,1,0,0,0,0
65,Male,154.9,88.5,High Activity,21.0,0.0,36.88420568300171,Obese,Fat Loss,1648.3566,1.81,2983.525446,3.0,3.0,,,,train,0.0,Fat Loss_High Activity_Obese,,,0,0.0,130,73.76841136600342,0,18.625498305084747,1.0,14.38420568300171,0.5713363460296965,0.28654612777053456,1,0,0,0,0
36,Female,162.6,90.7,High Activity,10.0,0.0,34.305693610441644,Obese,Fat Loss,1634.1507,1.81,2957.8127670000003,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,72,68.61138722088329,0,18.01709702315325,1.0000000000000002,11.805693610441644,0.557810578105781,0.5004749173098125,1,0,0,0,0
50,Male,167.6,92.1,High Activity,50.0,6.0,32.7877489875314,Obese,Fat Loss,1842.6881,1.81,3335.265461,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,100,65.5754979750628,0,20.007471226927255,0.9999999999999999,10.287748987531401,0.5495226730310262,0.4001494245385451,1,0,0,0,0
53,Female,165.1,97.5,High Activity,8.0,5.0,35.76930230783538,Obese,Fat Loss,1631.1653,1.81,2952.409193,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,106,71.53860461567076,0,16.72990051282051,1.0,13.269302307835382,0.5905511811023623,0.31565850024189646,1,0,0,0,0
48,Female,172.7,95.3,High Activity,5.0,0.0,31.952748824906653,Obese,Fat Loss,1656.0167,1.81,2997.3902270000003,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,96,63.905497649813306,0,17.37688037775446,1.0000000000000002,9.452748824906653,0.5518239722061379,0.3620183412032179,1,0,0,0,0
35,Male,154.9,79.4,High Activity,10.0,2.0,33.09159244328063,Obese,Fat Loss,1696.7539000000004,1.81,3071.1245590000008,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,70,66.18318488656126,0,21.36969647355164,1.0,10.591592443280632,0.5125887669464171,0.6105627563871898,1,0,0,0,0
51,Male,185.4,108.9,High Activity,5.0,1.0,31.681695834773407,Obese,Fat Loss,2147.5029000000004,1.81,3886.9802490000006,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,102,63.363391669546814,0,19.71995316804408,1.0,9.181695834773407,0.587378640776699,0.38666574839302115,1,0,0,0,0
