HH_ID,age,Member_ID,gender,height_ft_in,weight_lb,mod_act,vig_act,height_cm,weight_kg,bmi,bmi_category,activity_level,fitness_goal,nutrition_template_id,workout_template_id,split
2425,60.0,3508,2,5.7,130,12.0,0.0,170.18,58.96696,20.36065288437104,Normal,Moderate Activity,Maintenance,88,98,train
8788,56.0,2873,1,6.3,180,10.0,2.0,190.5,81.64656,22.498208196416392,Normal,Moderate Activity,Maintenance,88,98,train
14532,56.0,3400,2,5.9,165,15.0,3.0,175.26,74.84268,24.365970597095576,Normal,Moderate Activity,Maintenance,88,98,train
11035,22.0,4283,2,5.4,140,25.0,0.0,162.56,63.50288,24.030678920732843,Normal,Moderate Activity,Maintenance,88,98,train
4750,63.0,324,1,6.1,170,12.0,1.0,185.42,77.11064,22.428547765708785,Normal,Moderate Activity,Maintenance,88,98,train
14765,39.0,3416,2,5.5,121,10.0,2.0,165.1,54.884632,20.135230708331235,Normal,Moderate Activity,Maintenance,88,98,train
2067,20.0,7160,2,5.3,120,30.0,0.0,160.02,54.43104,21.256810465246023,Normal,Moderate Activity,Maintenance,88,98,train
5277,40.0,2563,2,5.4,115,5.0,5.0,162.56,52.16308,19.739486256316265,Normal,Moderate Activity,Maintenance,88,98,train
2453,32.0,5544,1,6.4,195,3.0,6.0,193.04,88.45044,23.735882305559628,Normal,Moderate Activity,Maintenance,88,98,train
3675,47.0,2402,2,5.7,135,15.0,1.0,170.18,61.23492,21.14375491838531,Normal,Moderate Activity,Maintenance,88,98,train
2258,62.0,55,2,5.3,138,24.0,2.0,160.02,62.595696,24.445332035032926,Normal,Moderate Activity,Maintenance,88,98,train
7918,50.0,2802,2,5.5,120,30.0,0.0,165.1,54.43104,19.968823842973126,Normal,Moderate Activity,Maintenance,88,98,train
3749,34.0,203,2,5.4,140,5.0,4.0,162.56,63.50288,24.030678920732843,Normal,Moderate Activity,Maintenance,88,98,train
2133,49.0,6470,2,5.3,115,10.0,5.0,160.02,52.16308,20.371110029194107,Normal,Moderate Activity,Maintenance,88,98,train
2160,45.0,1987,2,5.5,130,7.0,2.0,165.1,58.96696,21.632892496554224,Normal,Moderate Activity,Maintenance,88,98,train
14136,64.0,3363,2,5.6,150,12.0,2.0,167.64,68.0388,24.21036522513816,Normal,Moderate Activity,Maintenance,88,98,train
6870,38.0,2734,2,5.2,125,10.0,2.0,157.48000000000002,56.699,22.86254572509144,Normal,Moderate Activity,Maintenance,88,98,train
1251,61.0,3002,2,5.5,140,15.0,0.0,165.1,63.50288,23.29696115013532,Normal,Moderate Activity,Maintenance,88,98,train
537,49.0,2097,2,5.2,110,5.0,5.0,157.48000000000002,49.89512,20.11904023808047,Normal,Moderate Activity,Maintenance,88,98,train
1885,47.0,5503,1,5.8,160,5.0,5.0,172.72,72.57472,24.327647271211493,Normal,Moderate Activity,Maintenance,88,98,train
8830,52.0,1854,2,5.8,138,0.0,8.0,172.72,62.595696,20.98259577141992,Normal,Moderate Activity,Maintenance,88,98,train
11429,35.0,3161,2,5.9,150,20.0,5.0,175.26,68.0388,22.150882360995976,Normal,Moderate Activity,Maintenance,88,98,train
14300,48.0,7065,2,5.4,121,30.0,0.0,162.56,54.884632,20.76937249577624,Normal,Moderate Activity,Maintenance,88,98,train
11242,44.0,6908,2,5.8,150,5.0,3.0,172.72,68.0388,22.80716931676077,Normal,Moderate Activity,Maintenance,88,98,train
4966,40.0,347,1,5.7,155,2.0,6.0,170.18,70.30676,24.276163054442392,Normal,Moderate Activity,Maintenance,88,98,train
10443,60.0,1065,1,5.11,179,10.0,6.0,180.34,81.192968,24.965156139397774,Normal,Moderate Activity,Maintenance,88,98,train
14493,36.0,3395,2,5.3,135,15.0,3.0,160.02,61.23492,23.91391177340178,Normal,Moderate Activity,Maintenance,88,98,train
7348,34.0,2771,2,5.6,135,22.0,0.0,167.64,61.23492,21.789328702624346,Normal,Moderate Activity,Maintenance,88,98,train
3972,48.0,3551,2,5.5,140,12.0,0.0,165.1,63.50288,23.29696115013532,Normal,Moderate Activity,Maintenance,88,98,train
6410,24.0,4089,2,5.7,150,10.0,6.0,170.18,68.0388,23.49306102042812,Normal,Moderate Activity,Maintenance,88,98,train
13175,51.0,3300,2,5.2,126,10.0,1.0,157.48000000000002,57.152592,23.04544609089217,Normal,Moderate Activity,Maintenance,88,98,train
5115,50.0,6592,2,5.4,130,20.0,0.0,162.56,58.96696,22.31420185496621,Normal,Moderate Activity,Maintenance,88,98,train
2199,40.0,5534,2,5.8,145,7.0,4.0,172.72,65.77083999999999,22.04693033953541,Normal,Moderate Activity,Maintenance,88,98,train
7605,29.0,7271,2,5.5,150,3.0,10.0,165.1,68.0388,24.96102980371641,Normal,Moderate Activity,Maintenance,88,98,train
6463,50.0,6671,2,5.7,140,10.0,2.0,170.18,63.50288,21.92685695239958,Normal,Moderate Activity,Maintenance,88,98,train
5821,37.0,6633,2,5.8,150,10.0,1.0,172.72,68.0388,22.80716931676077,Normal,Moderate Activity,Maintenance,88,98,train
8815,45.0,3676,2,5.9,145,14.0,0.0,175.26,65.77083999999999,21.41251961562944,Normal,Moderate Activity,Maintenance,88,98,train
14937,40.0,1548,2,5.2,120,8.0,5.0,157.48000000000002,54.43104,21.948043896087785,Normal,Moderate Activity,Maintenance,88,98,train
