age,height_cm,weight_kg,bmi,mod_act,vig_act,fitness_goal,activity_level,bmi_category,nutrition_template_id,workout_template_id,split,goal_encoded,activity_level_encoded,BMI_Goal_interaction,Age_Activity_interaction,BMI_Activity_interaction,Age_Goal_interaction,BMR_per_weight,TDEE_BMR_ratio,activity_efficiency,BMI_deviation,weight_height_ratio,metabolic_score,high_metabolism,very_active,young_adult,optimal_BMI,gender_encoded
41,162,63,23,5,0,Muscle Gain,Low Activity,Normal,13,13,train,1,0,23,0,0,41,20,2,1.5,0.5,0.3888888888888889,0.640625,1,0,0,1,0
45,153,44,17,15,10,Muscle Gain,Moderate Activity,Underweight,16,16,train,1,1,17,45,17,45,20,2,1.5,5.5,0.2875816993464052,1.0,1,0,0,0,0
73,186,108,36,25,20,Maintenance,High Activity,Obese,35,35,train,2,2,72,146,72,146,20,2,1.5,13.5,0.5806451612903226,0.6697247706422018,1,1,0,0,0
73,186,108,36,25,20,Maintenance,High Activity,Obese,35,35,train,2,2,72,146,72,146,20,2,1.5,13.5,0.5806451612903226,0.6697247706422018,1,1,0,0,0
22,170,80,28,5,0,Fat Loss,Low Activity,Overweight,2,2,train,0,0,0,0,0,0,20,2,1.5,5.5,0.47058823529411764,0.2716049382716049,1,0,1,0,0
73,186,108,36,25,20,Maintenance,High Activity,Obese,35,35,train,2,2,72,146,72,146,20,2,1.5,13.5,0.5806451612903226,0.6697247706422018,1,1,0,0,0
42,172,83,29,5,0,Muscle Gain,Low Activity,Overweight,14,14,train,1,0,29,0,0,42,20,2,1.5,6.5,0.48255813953488375,0.5,1,0,0,0,0
21,160,60,22,5,0,Fat Loss,Low Activity,Normal,1,1,train,0,0,0,0,0,0,20,2,1.5,0.5,0.375,0.3442622950819672,1,0,1,1,0
62,174,86,30,5,0,Maintenance,Low Activity,Overweight,26,26,train,2,0,60,0,0,124,20,2,1.5,7.5,0.4942528735632184,0.7126436781609196,1,0,0,0,0
46,163,64,23,15,10,Muscle Gain,Moderate Activity,Normal,17,17,train,1,1,23,46,23,46,20,2,1.5,0.5,0.39263803680981596,0.7076923076923077,1,0,0,1,0
53,184,105,35,25,20,Muscle Gain,High Activity,Obese,23,23,train,1,2,35,106,70,53,20,2,1.5,12.5,0.5706521739130435,0.5,1,1,0,0,0
20,150,40,16,5,0,Fat Loss,Low Activity,Underweight,0,0,train,0,0,0,0,0,0,20,2,1.5,6.5,0.26666666666666666,0.4878048780487805,1,0,1,0,0
31,162,62,22,25,20,Fat Loss,High Activity,Normal,9,9,train,0,2,0,62,44,0,20,2,1.5,0.5,0.38271604938271603,0.49206349206349204,1,1,0,1,0
20,150,40,16,5,0,Fat Loss,Low Activity,Underweight,0,0,train,0,0,0,0,0,0,20,2,1.5,6.5,0.26666666666666666,0.4878048780487805,1,0,1,0,0
23,180,100,34,5,0,Fat Loss,Low Activity,Obese,3,3,train,0,0,0,0,0,0,20,2,1.5,11.5,0.5555555555555556,0.22772277227722773,1,0,1,0,0
63,184,106,36,5,0,Maintenance,Low Activity,Obese,27,27,train,2,0,72,0,0,126,20,2,1.5,13.5,0.5760869565217391,0.5887850467289719,1,0,0,0,0
65,155,47,18,15,10,Maintenance,Moderate Activity,Underweight,28,28,train,2,1,36,65,18,130,20,2,1.5,4.5,0.3032258064516129,1.3541666666666667,1,0,0,0,0
43,182,103,35,5,0,Muscle Gain,Low Activity,Obese,15,15,train,1,0,35,0,0,43,20,2,1.5,12.5,0.5659340659340659,0.41346153846153844,1,0,0,0,0
22,170,80,28,5,0,Fat Loss,Low Activity,Overweight,2,2,train,0,0,0,0,0,0,20,2,1.5,5.5,0.47058823529411764,0.2716049382716049,1,0,1,0,0
48,183,104,35,15,10,Muscle Gain,Moderate Activity,Obese,19,19,train,1,1,35,48,35,48,20,2,1.5,12.5,0.5683060109289617,0.45714285714285713,1,0,0,0,0
30,152,42,16,25,20,Fat Loss,High Activity,Underweight,8,8,train,0,2,0,60,32,0,20,2,1.5,6.5,0.27631578947368424,0.6976744186046512,1,1,1,0,0
48,183,104,35,15,10,Muscle Gain,Moderate Activity,Obese,19,19,train,1,1,35,48,35,48,20,2,1.5,12.5,0.5683060109289617,0.45714285714285713,1,0,0,0,0
32,172,82,28,25,20,Fat Loss,High Activity,Overweight,10,10,train,0,2,0,64,56,0,20,2,1.5,5.5,0.47674418604651164,0.3855421686746988,1,1,0,0,0
53,184,105,35,25,20,Muscle Gain,High Activity,Obese,23,23,train,1,2,35,106,70,53,20,2,1.5,12.5,0.5706521739130435,0.5,1,1,0,0,0
40,152,43,17,5,0,Muscle Gain,Low Activity,Underweight,12,12,train,1,0,17,0,0,40,20,2,1.5,5.5,0.28289473684210525,0.9090909090909091,1,0,0,0,0
25,151,41,16,15,10,Fat Loss,Moderate Activity,Underweight,4,4,train,0,1,0,25,16,0,20,2,1.5,6.5,0.271523178807947,0.5952380952380952,1,0,1,0,0
25,151,41,16,15,10,Fat Loss,Moderate Activity,Underweight,4,4,train,0,1,0,25,16,0,20,2,1.5,6.5,0.271523178807947,0.5952380952380952,1,0,1,0,0
27,171,81,28,15,10,Fat Loss,Moderate Activity,Overweight,6,6,train,0,1,0,27,28,0,20,2,1.5,5.5,0.47368421052631576,0.32926829268292684,1,0,1,0,0
65,155,47,18,15,10,Maintenance,Moderate Activity,Underweight,28,28,train,2,1,36,65,18,130,20,2,1.5,4.5,0.3032258064516129,1.3541666666666667,1,0,0,0,0
67,175,87,30,15,10,Maintenance,Moderate Activity,Overweight,30,30,train,2,1,60,67,30,134,20,2,1.5,7.5,0.49714285714285716,0.7613636363636364,1,0,0,0,0
30,152,42,16,25,20,Fat Loss,High Activity,Underweight,8,8,train,0,2,0,60,32,0,20,2,1.5,6.5,0.27631578947368424,0.6976744186046512,1,1,1,0,0
53,184,105,35,25,20,Muscle Gain,High Activity,Obese,23,23,train,1,2,35,106,70,53,20,2,1.5,12.5,0.5706521739130435,0.5,1,1,0,0,0
21,160,60,22,5,0,Fat Loss,Low Activity,Normal,1,1,train,0,0,0,0,0,0,20,2,1.5,0.5,0.375,0.3442622950819672,1,0,1,1,0
63,184,106,36,5,0,Maintenance,Low Activity,Obese,27,27,train,2,0,72,0,0,126,20,2,1.5,13.5,0.5760869565217391,0.5887850467289719,1,0,0,0,0
66,165,67,24,15,10,Maintenance,Moderate Activity,Normal,29,29,train,2,1,48,66,24,132,20,2,1.5,1.5,0.40606060606060607,0.9705882352941176,1,0,0,1,0
60,154,46,18,5,0,Maintenance,Low Activity,Underweight,24,24,train,2,0,36,0,0,120,20,2,1.5,4.5,0.2987012987012987,1.2765957446808511,1,0,0,0,0
40,152,43,17,5,0,Muscle Gain,Low Activity,Underweight,12,12,train,1,0,17,0,0,40,20,2,1.5,5.5,0.28289473684210525,0.9090909090909091,1,0,0,0,0
31,162,62,22,25,20,Fat Loss,High Activity,Normal,9,9,train,0,2,0,62,44,0,20,2,1.5,0.5,0.38271604938271603,0.49206349206349204,1,1,0,1,0
30,152,42,16,25,20,Fat Loss,High Activity,Underweight,8,8,train,0,2,0,60,32,0,20,2,1.5,6.5,0.27631578947368424,0.6976744186046512,1,1,1,0,0
31,162,62,22,25,20,Fat Loss,High Activity,Normal,9,9,train,0,2,0,62,44,0,20,2,1.5,0.5,0.38271604938271603,0.49206349206349204,1,1,0,1,0
62,174,86,30,5,0,Maintenance,Low Activity,Overweight,26,26,train,2,0,60,0,0,124,20,2,1.5,7.5,0.4942528735632184,0.7126436781609196,1,0,0,0,0
67,175,87,30,15,10,Maintenance,Moderate Activity,Overweight,30,30,train,2,1,60,67,30,134,20,2,1.5,7.5,0.49714285714285716,0.7613636363636364,1,0,0,0,0
66,165,67,24,15,10,Maintenance,Moderate Activity,Normal,29,29,train,2,1,48,66,24,132,20,2,1.5,1.5,0.40606060606060607,0.9705882352941176,1,0,0,1,0
21,160,60,22,5,0,Fat Loss,Low Activity,Normal,1,1,train,0,0,0,0,0,0,20,2,1.5,0.5,0.375,0.3442622950819672,1,0,1,1,0
46,163,64,23,15,10,Muscle Gain,Moderate Activity,Normal,17,17,train,1,1,23,46,23,46,20,2,1.5,0.5,0.39263803680981596,0.7076923076923077,1,0,0,1,0
42,172,83,29,5,0,Muscle Gain,Low Activity,Overweight,14,14,train,1,0,29,0,0,42,20,2,1.5,6.5,0.48255813953488375,0.5,1,0,0,0,0
23,180,100,34,5,0,Fat Loss,Low Activity,Obese,3,3,train,0,0,0,0,0,0,20,2,1.5,11.5,0.5555555555555556,0.22772277227722773,1,0,1,0,0
43,182,103,35,5,0,Muscle Gain,Low Activity,Obese,15,15,train,1,0,35,0,0,43,20,2,1.5,12.5,0.5659340659340659,0.41346153846153844,1,0,0,0,0
51,164,65,23,25,20,Muscle Gain,High Activity,Normal,21,21,train,1,2,23,102,46,51,20,2,1.5,0.5,0.39634146341463417,0.7727272727272727,1,1,0,1,0
66,165,67,24,15,10,Maintenance,Moderate Activity,Normal,29,29,train,2,1,48,66,24,132,20,2,1.5,1.5,0.40606060606060607,0.9705882352941176,1,0,0,1,0
48,183,104,35,15,10,Muscle Gain,Moderate Activity,Obese,19,19,train,1,1,35,48,35,48,20,2,1.5,12.5,0.5683060109289617,0.45714285714285713,1,0,0,0,0
30,152,42,16,25,20,Fat Loss,High Activity,Underweight,8,8,train,0,2,0,60,32,0,20,2,1.5,6.5,0.27631578947368424,0.6976744186046512,1,1,1,0,0
21,160,60,22,5,0,Fat Loss,Low Activity,Normal,1,1,train,0,0,0,0,0,0,20,2,1.5,0.5,0.375,0.3442622950819672,1,0,1,1,0
25,151,41,16,15,10,Fat Loss,Moderate Activity,Underweight,4,4,train,0,1,0,25,16,0,20,2,1.5,6.5,0.271523178807947,0.5952380952380952,1,0,1,0,0
52,174,85,29,25,20,Muscle Gain,High Activity,Overweight,22,22,train,1,2,29,104,58,52,20,2,1.5,6.5,0.4885057471264368,0.6046511627906976,1,1,0,0,0
70,156,48,18,25,20,Maintenance,High Activity,Underweight,32,32,train,2,2,36,140,36,140,20,2,1.5,4.5,0.3076923076923077,1.4285714285714286,1,1,0,0,0
31,162,62,22,25,20,Fat Loss,High Activity,Normal,9,9,train,0,2,0,62,44,0,20,2,1.5,0.5,0.38271604938271603,0.49206349206349204,1,1,0,1,0
25,151,41,16,15,10,Fat Loss,Moderate Activity,Underweight,4,4,train,0,1,0,25,16,0,20,2,1.5,6.5,0.271523178807947,0.5952380952380952,1,0,1,0,0
20,150,40,16,5,0,Fat Loss,Low Activity,Underweight,0,0,train,0,0,0,0,0,0,20,2,1.5,6.5,0.26666666666666666,0.4878048780487805,1,0,1,0,0
46,163,64,23,15,10,Muscle Gain,Moderate Activity,Normal,17,17,train,1,1,23,46,23,46,20,2,1.5,0.5,0.39263803680981596,0.7076923076923077,1,0,0,1,0
22,170,80,28,5,0,Fat Loss,Low Activity,Overweight,2,2,train,0,0,0,0,0,0,20,2,1.5,5.5,0.47058823529411764,0.2716049382716049,1,0,1,0,0
61,164,66,24,5,0,Maintenance,Low Activity,Normal,25,25,train,2,0,48,0,0,122,20,2,1.5,1.5,0.4024390243902439,0.9104477611940298,1,0,0,1,0
43,182,103,35,5,0,Muscle Gain,Low Activity,Obese,15,15,train,1,0,35,0,0,43,20,2,1.5,12.5,0.5659340659340659,0.41346153846153844,1,0,0,0,0
27,171,81,28,15,10,Fat Loss,Moderate Activity,Overweight,6,6,train,0,1,0,27,28,0,20,2,1.5,5.5,0.47368421052631576,0.32926829268292684,1,0,1,0,0
20,150,40,16,5,0,Fat Loss,Low Activity,Underweight,0,0,train,0,0,0,0,0,0,20,2,1.5,6.5,0.26666666666666666,0.4878048780487805,1,0,1,0,0
31,162,62,22,25,20,Fat Loss,High Activity,Normal,9,9,train,0,2,0,62,44,0,20,2,1.5,0.5,0.38271604938271603,0.49206349206349204,1,1,0,1,0
43,182,103,35,5,0,Muscle Gain,Low Activity,Obese,15,15,train,1,0,35,0,0,43,20,2,1.5,12.5,0.5659340659340659,0.41346153846153844,1,0,0,0,0
33,182,102,34,25,20,Fat Loss,High Activity,Obese,11,11,train,0,2,0,66,68,0,20,2,1.5,11.5,0.5604395604395604,0.32038834951456313,1,1,0,0,0
61,164,66,24,5,0,Maintenance,Low Activity,Normal,25,25,train,2,0,48,0,0,122,20,2,1.5,1.5,0.4024390243902439,0.9104477611940298,1,0,0,1,0
68,185,107,36,15,10,Maintenance,Moderate Activity,Obese,31,31,train,2,1,72,68,36,136,20,2,1.5,13.5,0.5783783783783784,0.6296296296296297,1,0,0,0,0
30,152,42,16,25,20,Fat Loss,High Activity,Underweight,8,8,train,0,2,0,60,32,0,20,2,1.5,6.5,0.27631578947368424,0.6976744186046512,1,1,1,0,0
42,172,83,29,5,0,Muscle Gain,Low Activity,Overweight,14,14,train,1,0,29,0,0,42,20,2,1.5,6.5,0.48255813953488375,0.5,1,0,0,0,0
27,171,81,28,15,10,Fat Loss,Moderate Activity,Overweight,6,6,train,0,1,0,27,28,0,20,2,1.5,5.5,0.47368421052631576,0.32926829268292684,1,0,1,0,0
48,183,104,35,15,10,Muscle Gain,Moderate Activity,Obese,19,19,train,1,1,35,48,35,48,20,2,1.5,12.5,0.5683060109289617,0.45714285714285713,1,0,0,0,0
