HH_ID,age,Member_ID,gender,height_ft_in,weight_lb,mod_act,vig_act,height_cm,weight_kg,bmi,bmi_category,activity_level,fitness_goal,nutrition_template_id,workout_template_id,split
6820,55.0,1796,1,5.1,215,2.0,1.0,154.94,97.52228,40.623444321331,Obese,Low Activity,Fat Loss,3,4,train
542,51.0,5422,2,5.4,267,0.0,0.0,162.56,121.109064,45.82993765596906,Obese,Low Activity,Fat Loss,3,4,train
3708,44.0,5616,1,5.9,140,15.0,1.0,175.26,63.50288,20.674156870262912,Normal,Moderate Activity,Maintenance,36,93,train
10144,35.0,6852,2,5.4,125,10.0,5.0,162.56,56.699,21.45596332208289,Normal,Moderate Activity,Maintenance,36,93,train
13952,33.0,1436,1,5.11,170,30.0,2.0,180.34,77.11064,23.70992482512638,Normal,High Activity,Maintenance,50,11,train
1270,36.0,3005,1,5.9,170,1.0,0.0,175.26,77.11064,25.10433334246211,Overweight,Low Activity,Maintenance,17,22,train
13638,55.0,6280,1,5.1,195,7.0,5.0,154.94,88.45044,36.84451926818393,Obese,Moderate Activity,Fat Loss,86,51,train
2083,55.0,3493,2,5.1,165,5.0,0.0,154.94,74.84268,31.17613168846333,Obese,Low Activity,Fat Loss,3,4,train
9836,34.0,6840,2,5.4,180,6.0,1.0,162.56,81.64656,30.896587183799365,Obese,Low Activity,Fat Loss,3,4,train
9172,22.0,4550,1,6.1,155,30.0,5.0,185.42,70.30676,20.449558256969773,Normal,High Activity,Muscle Gain,16,78,train
10167,48.0,2982,2,5.9,220,20.0,0.0,175.26,99.79024,32.48796079612743,Obese,Moderate Activity,Fat Loss,86,51,train
6965,60.0,3635,2,5.8,180,5.0,0.0,172.72,81.64656,27.36860318011293,Overweight,Low Activity,Fat Loss,71,9,train
9145,53.0,2910,2,5.8,160,5.0,0.0,172.72,72.57472,24.327647271211493,Normal,Low Activity,Maintenance,51,66,train
3639,54.0,2401,1,5.8,190,60.0,0.0,172.72,86.18248,28.88908113456365,Overweight,High Activity,Fat Loss,87,17,train
11460,20.0,3162,2,5.6,200,8.0,0.0,167.64,90.7184,32.28048696685089,Obese,Low Activity,Fat Loss,3,4,train
5032,44.0,3573,2,5.9,165,4.0,5.0,175.26,74.84268,24.365970597095576,Normal,Moderate Activity,Maintenance,36,93,train
13332,57.0,1387,2,5.4,112,8.0,0.0,162.56,50.802304,19.224543136586277,Normal,Low Activity,Maintenance,51,66,train
4051,60.0,234,1,5.1,260,9.0,0.0,154.94,117.93392,49.12602569091191,Obese,Low Activity,Fat Loss,3,4,train
7823,22.0,4140,2,5.2,130,20.0,2.0,157.48000000000002,58.96696,23.777047554095105,Normal,Moderate Activity,Maintenance,36,93,train
10208,60.0,962,1,5.8,210,10.0,0.0,172.72,95.25432,31.930037043465084,Obese,Low Activity,Fat Loss,3,4,train
5859,56.0,1745,1,5.6,175,5.0,1.0,167.64,79.3786,28.245426095994524,Overweight,Low Activity,Fat Loss,71,9,train
6825,52.0,3633,1,6.3,220,4.0,5.0,190.5,99.79024,27.49781001784226,Overweight,Moderate Activity,Fat Loss,54,56,train
555,20.0,7122,2,5.6,115,20.0,0.0,167.64,52.16308,18.561280005939256,Normal,Moderate Activity,Muscle Gain,0,80,train
1434,59.0,5484,1,5.1,170,10.0,0.0,154.94,77.11064,32.1208629517501,Obese,Low Activity,Fat Loss,3,4,train
6666,27.0,7249,2,5.6,130,30.0,0.0,167.64,58.96696,20.982316528453072,Normal,Moderate Activity,Muscle Gain,0,80,train
8946,63.0,1858,1,5.9,172,2.0,3.0,175.26,78.017824,25.39967844060872,Overweight,Low Activity,Maintenance,17,22,train
10570,43.0,3081,2,5.1,150,20.0,10.0,154.94,68.0388,28.34193789860302,Overweight,High Activity,Fat Loss,87,17,train
2765,61.0,2345,2,5.6,135,6.0,0.0,167.64,61.23492,21.789328702624346,Normal,Low Activity,Maintenance,51,66,train
10677,57.0,6077,1,5.11,190,7.0,12.0,180.34,86.18248,26.49932774572948,Overweight,High Activity,Maintenance,16,39,train
409,35.0,6382,2,5.7,190,80.0,20.0,170.18,86.18248,29.75787729254229,Overweight,High Activity,Fat Loss,87,17,train
7020,42.0,626,2,5.8,135,5.0,2.0,172.72,61.23492,20.5264523850847,Normal,Low Activity,Maintenance,51,66,train
6330,53.0,3612,2,5.8,210,8.0,0.0,172.72,95.25432,31.930037043465084,Obese,Low Activity,Fat Loss,3,4,train
2725,36.0,3519,2,5.9,135,5.0,5.0,175.26,61.23492,19.93579412489638,Normal,Moderate Activity,Maintenance,36,93,train
