HH_ID,age,Member_ID,gender,height_ft_in,weight_lb,mod_act,vig_act,height_cm,weight_kg,bmi,bmi_category,activity_level,fitness_goal,nutrition_template_id,workout_template_id,split
890,63.0,2119,2,5.6,200,30.0,2.0,167.64,90.7184,32.28048696685089,Obese,High Activity,Fat Loss,19,0,train
3369,59.0,5590,1,6.2,250,30.0,15.0,187.96,113.398,32.09774498438697,Obese,High Activity,Fat Loss,19,0,train
13348,25.0,4626,1,6.4,275,20.0,10.0,193.04,124.7378,33.473680174507166,Obese,High Activity,Fat Loss,19,0,train
7366,29.0,660,1,5.1,165,20.0,6.0,154.94,74.84268,31.17613168846333,Obese,High Activity,Fat Loss,19,0,train
13082,58.0,1361,1,5.1,190,20.0,40.0,154.94,86.18248,35.89978800489716,Obese,High Activity,Fat Loss,19,0,train
712,39.0,1573,1,5.11,220,20.0,10.0,180.34,99.79024,30.68343212663413,Obese,High Activity,Fat Loss,19,0,train
1246,38.0,6430,2,5.1,180,42.0,35.0,154.94,81.64656,34.01032547832363,Obese,High Activity,Fat Loss,19,0,train
5805,41.0,6631,1,5.11,220,40.0,6.0,180.34,99.79024,30.68343212663413,Obese,High Activity,Fat Loss,19,0,train
10888,45.0,1128,1,5.8,215,35.0,0.0,172.72,97.52228,32.69027602069045,Obese,High Activity,Fat Loss,19,0,train
11245,64.0,6108,1,5.1,180,50.0,6.0,154.94,81.64656,34.01032547832363,Obese,High Activity,Fat Loss,19,0,train
9699,43.0,1880,1,6.2,325,35.0,0.0,187.96,147.4174,41.72706847970306,Obese,High Activity,Fat Loss,19,0,train
13623,47.0,3330,2,5.6,240,60.0,10.0,167.64,108.86208,38.73658436022106,Obese,High Activity,Fat Loss,19,0,train
5807,58.0,452,1,5.8,200,60.0,5.0,172.72,90.7184,30.40955908901437,Obese,High Activity,Fat Loss,19,0,train
13005,55.0,1354,1,5.1,290,48.0,10.0,154.94,131.54168,54.79441327063251,Obese,High Activity,Fat Loss,19,0,train
3944,47.0,221,1,5.1,240,25.0,10.0,154.94,108.86208,45.34710063776484,Obese,High Activity,Fat Loss,19,0,train
788,47.0,3889,2,5.1,168,38.0,3.0,154.94,76.203456,31.74297044643539,Obese,High Activity,Fat Loss,19,0,train
4276,47.0,262,2,5.3,200,40.0,10.0,160.02,90.7184,35.42801744207671,Obese,High Activity,Fat Loss,19,0,train
12021,56.0,6161,1,6.1,260,40.0,40.0,185.42,117.93392,34.302484818142844,Obese,High Activity,Fat Loss,19,0,train
9893,50.0,1886,1,5.1,180,10.0,40.0,154.94,81.64656,34.01032547832363,Obese,High Activity,Fat Loss,19,0,train
5074,41.0,360,1,5.1,280,28.0,7.0,154.94,127.00576,52.90495074405898,Obese,High Activity,Fat Loss,19,0,train
9943,48.0,1889,1,6.1,260,50.0,2.0,185.42,117.93392,34.302484818142844,Obese,High Activity,Fat Loss,19,0,train
11280,33.0,1153,1,5.1,215,70.0,4.0,154.94,97.52228,40.623444321331,Obese,High Activity,Fat Loss,19,0,train
13005,54.0,3285,2,5.1,200,48.0,0.0,154.94,90.7184,37.7892505314707,Obese,High Activity,Fat Loss,19,0,train
1641,60.0,1598,1,6.2,240,70.0,0.0,187.96,108.86208,30.813835185011488,Obese,High Activity,Fat Loss,19,0,train
340,64.0,2081,1,5.11,220,20.0,9.0,180.34,99.79024,30.68343212663413,Obese,High Activity,Fat Loss,19,0,train
14392,37.0,5365,1,5.8,240,10.0,30.0,172.72,108.86208,36.49147090681724,Obese,High Activity,Fat Loss,19,0,train
