age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
52,Female,157.5,52.2,21.03,Normal,1192.7,1848.6,Moderate Activity,1.55,4.0,2.0,True,Fat Loss,2,1,real,train
50,Female,170.2,61.7,21.3,Normal,1328.7,2405.0,High Activity,1.81,6.0,3.0,True,Maintenance,9,7,real,train
33,Female,167.6,97.5,34.7,Obese,1725.8,3123.8,High Activity,1.81,5.0,2.0,True,Fat Loss,6,1,real,train
33,Female,157.5,65.8,26.52,Overweight,1400.8,1807.0,Low Activity,1.29,2.0,0.0,True,Maintenance,7,8,real,train
61,Female,167.6,68.0,24.21,Normal,1332.0,2410.9,High Activity,1.81,7.0,0.0,True,Maintenance,9,7,real,train
60,Male,188.0,88.5,25.04,Overweight,1834.7,3320.9,High Activity,1.81,10.0,0.0,True,Maintenance,9,8,real,train
64,Male,154.9,83.9,34.96,Obese,1592.8,2883.0,High Activity,1.81,10.0,1.0,True,Fat Loss,3,3,real,train
31,Male,193.0,108.9,29.21,Overweight,2297.2,4157.9,High Activity,1.81,10.0,0.0,True,Maintenance,9,8,real,train
24,Female,154.9,63.5,26.45,Overweight,1410.9,2553.7,High Activity,1.81,8.0,0.0,True,Fat Loss,3,2,real,train
42,Female,162.6,79.4,30.04,Obese,1503.4,2721.1,High Activity,1.81,15.0,0.0,True,Fat Loss,3,3,real,train
59,Male,185.4,83.9,24.41,Normal,1767.5,3199.1,High Activity,1.81,40.0,1.0,True,Maintenance,9,7,real,train
35,Male,154.9,99.8,41.57,Obese,1970.1,3565.9,High Activity,1.81,6.0,0.0,True,Fat Loss,3,3,real,train
48,Female,175.3,63.5,20.67,Normal,1369.9,2479.6,High Activity,1.81,14.0,0.0,True,Fat Loss,3,1,real,train
24,Female,167.6,68.0,24.21,Normal,1492.2,2700.8,High Activity,1.81,10.0,4.0,True,Fat Loss,3,1,real,train
18,Male,188.0,71.2,20.16,Normal,1842.2,3334.5,High Activity,1.81,15.0,5.0,True,Muscle Gain,6,5,real,train
39,Female,172.7,72.6,24.33,Normal,1484.9,2687.7,High Activity,1.81,5.0,0.0,True,Muscle Gain,6,5,real,train
27,Female,193.0,56.7,15.22,Underweight,1453.0,2252.2,Moderate Activity,1.55,3.0,0.0,True,Muscle Gain,5,4,real,train
35,Male,182.9,95.3,28.48,Overweight,2043.4,3167.3,Moderate Activity,1.55,4.0,0.0,True,Fat Loss,2,2,real,train
52,Male,154.9,81.6,34.01,Obese,1630.5,2951.3,High Activity,1.81,30.0,0.0,True,Fat Loss,3,3,real,train
25,Male,154.9,81.6,34.01,Obese,1783.8,3228.7,High Activity,1.81,40.0,10.0,True,Fat Loss,3,3,real,train
46,Male,182.9,145.1,43.4,Obese,2649.4,4795.5,High Activity,1.81,7.0,1.0,True,Fat Loss,3,3,real,train
55,Male,167.6,65.8,23.4,Normal,1461.8,2645.8,High Activity,1.81,5.0,0.0,True,Fat Loss,3,1,real,train
28,Male,162.6,68.0,25.75,Overweight,1621.0,2934.1,High Activity,1.81,0.0,3.0,True,Fat Loss,3,2,real,train
27,Female,167.6,86.2,30.67,Obese,1647.0,2981.0,High Activity,1.81,10.0,0.0,True,Fat Loss,6,7,real,train
